en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
196914,"Gordon Moore",31,US,USA,"United States","North America",1929,"San Francisco",Male,BUSINESSPERSON,BUSINESS,"BUSINESS & LAW",OGC,1222170,5.07446242,7491.74303,780177,441993,39424.83871,22.07133147
196999,"Isidor Isaac Rabi",50,PL,POL,Poland,Europe,1898,"Rymanów",Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,527619,16.3814202,1964.189948,177521,350098,10552.38,24.2135126
197030,"Pierre Gassendi",38,FR,FRA,France,Europe,1592,Champtercier,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,522780,10.50941896,1892.887895,171475,351305,13757.36842,24.4624973
197033,Mencius,44,CN,CHN,China,Asia,-372,Shandong,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,2120530,8.308369055,6031.254035,770131,1350399,48193.86364,27.21305066
197229,"George Canning",32,GB,GBR,"United Kingdom",Europe,1770,Marylebone,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,495778,6.360316734,1532.85128,291996,203782,15493.0625,23.00535895
197386,Padmasambhava,36,PK,PAK,Pakistan,Asia,700,Swat,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,1060913,7.246036586,4142.43685,564808,496105,29469.80556,26.16176219
197517,"Rachel Corrie",37,US,USA,"United States","North America",1979,Olympia,Female,"SOCIAL ACTIVIST",ACTIVISM,"PUBLIC FIGURE",OGC,1899744,4.477299607,31636.79621,1257256,642488,51344.43243,15.70240313
197522,"B. R. Ambedkar",37,IN,IND,India,Asia,1891,Mhow,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,4238854,2.381184106,46467.47191,3494767,744087,114563.6216,21.70042728
197618,"José María Aznar",47,ES,ESP,Spain,Europe,1953,Madrid,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,2294260,5.418493395,12647.11254,467306,1826954,48814.04255,22.40707051
197666,"Ferdinand Lassalle",37,PL,POL,Poland,Europe,1825,"Wrocław",Male,"SOCIAL ACTIVIST",ACTIVISM,"PUBLIC FIGURE",OGC,880018,8.614470578,4449.085527,146542,733476,23784.27027,24.05778358
197736,"Lillian Gish",37,US,USA,"United States","North America",1893,Springfield,Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,2087815,3.480083472,7510.484913,1539102,548713,56427.43243,22.8776575
197743,"Johan Ludvig Runeberg",28,FI,FIN,Finland,Europe,1804,Jakobstad,Male,WRITER,LANGUAGE,HUMANITIES,OGC,663237,5.436901847,9299.270262,83519,579718,23687.03571,22.13992086
197745,"Pyrrhus of Epirus",47,GR,GRC,Greece,Europe,-319,Epirus,Male,"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC,2524397,10.83612474,7493.118321,932244,1592153,53710.57447,27.65041316
197772,"Petula Clark",27,GB,GBR,"United Kingdom",Europe,1932,Epsom,Female,SINGER,MUSIC,ARTS,OGC,3089702,3.887043177,23428.43405,1973100,1116602,114433.4074,22.35442472
197967,"Hans-Adam II, Prince of Liechtenstein",46,CH,CHE,Switzerland,Europe,1945,"Zürich",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,862423,15.60212458,5231.794867,35771,826652,18748.32609,23.78753006
197983,"Romano Prodi",77,IT,ITA,Italy,Europe,1939,Scandiano,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,2521916,11.45135154,23159.48603,588527,1933389,32752.15584,24.77512847
198092,"Martina Navratilova",56,CZ,CZE,"Czech Republic",Europe,1956,Prague,Female,"TENNIS PLAYER","INDIVIDUAL SPORTS",SPORTS,OGC,5303686,5.776068938,48118.57112,3116331,2187355,94708.67857,21.8624038
198324,"Ananda Mahidol",26,DE,DEU,Germany,Europe,1925,Heidelberg,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1269923,6.099731353,7267.106566,448326,821597,48843.19231,22.80174958
198336,"Wilhelm Reich",42,AT,AUT,Austria,Europe,1897,Austria-Hungary,Male,PSYCHOLOGIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,3259235,7.642627588,8793.212437,1441710,1817525,77600.83333,25.25198938
198401,"Ngũgĩ wa Thiong'o",31,KE,KEN,Kenya,Africa,1938,Kenya,Male,WRITER,LANGUAGE,HUMANITIES,OGC,408392,4.341673953,3924.303932,284347,124045,13173.93548,20.11342859
198508,"Oliver Neuville",32,CH,CHE,Switzerland,Europe,1973,Locarno,Male,"SOCCER PLAYER","TEAM SPORTS",SPORTS,OGC,1072290,8.332311105,9053.868433,323752,748538,33509.0625,17.98469737
198606,"Malcolm McDowell",37,GB,GBR,"United Kingdom",Europe,1943,Horsforth,Male,ACTOR,"FILM AND THEATRE",ARTS,OGC,8440809,4.383377391,26954.43355,5155835,3284974,228129.973,24.62826776
198827,"Heinrich Cornelius Agrippa",32,DE,DEU,Germany,Europe,1486,Cologne,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,1035613,6.410563004,5146.588846,547876,487737,32362.90625,23.96979273
199116,"Henry Campbell-Bannerman",35,GB,GBR,"United Kingdom",Europe,1836,Kelvinside,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,434589,6.732012397,1423.94158,256295,178294,12416.82857,22.73151996
199158,"Mark Knopfler",41,GB,GBR,"United Kingdom",Europe,1949,Glasgow,Male,MUSICIAN,MUSIC,ARTS,OGC,8534134,7.254200774,29238.18789,3906568,4627566,208149.6098,24.5852389
199169,"Ibn Khaldun",83,TN,TUN,Tunisia,Africa,1332,Tunis,Male,HISTORIAN,HISTORY,HUMANITIES,OGC,4497412,8.679191537,30953.72109,1225840,3271572,54185.68675,26.98840371
199406,"Michael Smith",37,GB,GBR,"United Kingdom",Europe,1932,Blackpool,Male,CHEMIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,85386,15.90498616,481.0566134,8094,77292,2307.72973,21.70510766
199445,"Wayne Rooney",72,GB,GBR,"United Kingdom",Europe,1985,Croxteth,Male,"SOCCER PLAYER","TEAM SPORTS",SPORTS,OGC,22509105,7.510442294,142425.291,11912264,10596841,312626.4583,19.6588959
