en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
186224,Rajneesh,40,IN,IND,India,Asia,1931,"Madhya Pradesh",Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,5628986,6.478178069,149853.6574,2823111,2805875,140724.65,22.93268004
186234,"David Bohm",26,US,USA,"United States","North America",1917,Wilkes-Barre,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,1091781,5.717265089,2931.341016,624287,467494,41991.57692,22.99264961
186300,"John D. Rockefeller",53,US,USA,"United States","North America",1839,Richford,Male,BUSINESSPERSON,BUSINESS,"BUSINESS & LAW",OGC,16132232,5.166347195,79262.7401,9937631,6194601,304381.7358,26.01225849
186350,"Michael Wittmann",31,DE,DEU,Germany,Europe,1914,Vogelthal,Male,"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC,1780126,6.842518157,5807.727183,883243,896883,57423.41935,23.82708603
186538,"Ryunosuke Akutagawa",39,JP,JPN,Japan,Asia,1892,Kyobashi,Male,WRITER,LANGUAGE,HUMANITIES,OGC,3995786,2.5723267,24702.72049,402660,3593126,102456.0513,23.97175331
186642,"Steve Fossett",26,US,USA,"United States","North America",1944,Jackson,Male,BUSINESSPERSON,BUSINESS,"BUSINESS & LAW",OGC,2601760,3.813585381,42200.51897,1750168,851592,100067.6923,21.00777901
186803,"Robin Cook",27,GB,GBR,"United Kingdom",Europe,1946,Bellshill,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,910606,2.428214295,3256.786097,762760,147846,33726.14815,20.04809598
186948,Polykleitos,31,GR,GRC,Greece,Europe,-500,Argos,Male,SCULPTOR,"FINE ARTS",ARTS,OGC,1205874,10.43885052,5515.287483,294624,911250,38899.16129,26.26046171
186955,"Frederick VI of Denmark",28,DK,DNK,Denmark,Europe,1768,"Christiansborg Palace",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,835102,8.374402989,8460.731493,354414,480688,29825.07143,22.82412908
187067,"Jules Cardinal Mazarin",50,IT,ITA,Italy,Europe,1602,Pescina,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1943617,10.01897244,12225.83268,449658,1493959,38872.34,25.56702972
187074,"Judy Holliday",26,US,USA,"United States","North America",1921,"New York City",Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,951555,2.579223925,5004.760149,776722,174833,36598.26923,20.50999446
